affiliation_as_published,public_person_record_count,record_type
Amazon Robotics,4,affiliation_label_not_verified_organization
Amazon Web Services,1,affiliation_label_not_verified_organization
Amazon.com,1,affiliation_label_not_verified_organization
"Amazon.com, Inc.",1,affiliation_label_not_verified_organization
"Analog Devices, Inc.",1,affiliation_label_not_verified_organization
Anhui University,1,affiliation_label_not_verified_organization
Anhui University of Technology,3,affiliation_label_not_verified_organization
Anitron,1,affiliation_label_not_verified_organization
Ant Group,1,affiliation_label_not_verified_organization
Aoyama Gakuin University,2,affiliation_label_not_verified_organization
Apple,1,affiliation_label_not_verified_organization
"Applied Scientist, Amazon FAR",1,affiliation_label_not_verified_organization
Argonne National Lab,1,affiliation_label_not_verified_organization
Aristotle University of Thessaloniki,3,affiliation_label_not_verified_organization
Arizona State University,27,affiliation_label_not_verified_organization
Arizona State of University,1,affiliation_label_not_verified_organization
Army Research Laboratory (ARL),1,affiliation_label_not_verified_organization
Artificial Intelligence Association of Thailand,1,affiliation_label_not_verified_organization
"Artpark, IISc",1,affiliation_label_not_verified_organization
"Assistant Professor of Robotics and Mechatronics Engineering at DGIST, South Korea.",1,affiliation_label_not_verified_organization
"Assistant Professor, Arizona State University",1,affiliation_label_not_verified_organization
"Assistant Professor, Georgia Tech",1,affiliation_label_not_verified_organization
"Assistant Professor, Harvard University",1,affiliation_label_not_verified_organization
"Associate Professor at Simon Fraser University, British Columbia, Canada.",1,affiliation_label_not_verified_organization
Associate Professor • UCL,1,affiliation_label_not_verified_organization
Astemo,1,affiliation_label_not_verified_organization
Astrobotic,5,affiliation_label_not_verified_organization
Astrobotic Technology,1,affiliation_label_not_verified_organization
Astrobotic Technology Inc,2,affiliation_label_not_verified_organization
Athena RC,1,affiliation_label_not_verified_organization
Athena Research Center,2,affiliation_label_not_verified_organization
Athena Research Centre,1,affiliation_label_not_verified_organization
Atlantic Technological University,3,affiliation_label_not_verified_organization
Atlantic Technological University Sligo,1,affiliation_label_not_verified_organization
Aumovio,1,affiliation_label_not_verified_organization
Australian Institute of Marine Science,1,affiliation_label_not_verified_organization
Australian National University,2,affiliation_label_not_verified_organization
Austrian Institute of Technology,2,affiliation_label_not_verified_organization
Autodesk Research,1,affiliation_label_not_verified_organization
BMW,1,affiliation_label_not_verified_organization
BMW AG,2,affiliation_label_not_verified_organization
BMW Group,1,affiliation_label_not_verified_organization
BUAA,1,affiliation_label_not_verified_organization
Baidu,1,affiliation_label_not_verified_organization
"Bar Ilan University, Israel",1,affiliation_label_not_verified_organization
Beckhoff,2,affiliation_label_not_verified_organization
BeiHang University,1,affiliation_label_not_verified_organization
Beihang University,68,affiliation_label_not_verified_organization
Beihang Unverisity,1,affiliation_label_not_verified_organization
Beihang university,1,affiliation_label_not_verified_organization
Beijing Academy of Agriculture and Forestry Sciences,3,affiliation_label_not_verified_organization
Beijing Academy of Artificial Intelligence,2,affiliation_label_not_verified_organization
Beijing Forestry University,1,affiliation_label_not_verified_organization
"Beijing Galbot Co., Ltd",1,affiliation_label_not_verified_organization
Beijing Innovation Center of Humanoid Robotics,2,affiliation_label_not_verified_organization
Beijing Insititute of Technology,1,affiliation_label_not_verified_organization
Beijing Institude of Technology,1,affiliation_label_not_verified_organization
Beijing Institude of technology,1,affiliation_label_not_verified_organization
Beijing Institute Of Technology,1,affiliation_label_not_verified_organization
Beijing Institute for General Artificial Intelligence,3,affiliation_label_not_verified_organization
Beijing Institute of Control Engineering,2,affiliation_label_not_verified_organization
Beijing Institute of Graphic Communication,1,affiliation_label_not_verified_organization
Beijing Institute of Technology,82,affiliation_label_not_verified_organization
Beijing Institute of Technology School of Mechatronical Engineering,1,affiliation_label_not_verified_organization
Beijing Institute of Technology school,1,affiliation_label_not_verified_organization
Beijing Institute of technology,4,affiliation_label_not_verified_organization
Beijing Jiaotong University,6,affiliation_label_not_verified_organization
"Beijing Jiaotong University, Beijing, China",1,affiliation_label_not_verified_organization
Beijing Lingxin Qiaoshou,1,affiliation_label_not_verified_organization
Beijing Normal-Hong Kong Baptist University,1,affiliation_label_not_verified_organization
Beijing Research Center of Intelligent Equipment for Agriculture,1,affiliation_label_not_verified_organization
Beijing Univeristy of Technology,1,affiliation_label_not_verified_organization
Beijing University Of Technology,3,affiliation_label_not_verified_organization
Beijing University of Chemical Technology,4,affiliation_label_not_verified_organization
Beijing University of Posts and Telecommunication,1,affiliation_label_not_verified_organization
Beijing University of Posts and Telecommunications,6,affiliation_label_not_verified_organization
Beijing University of Posts and Telecommunications / Tsinghua University,1,affiliation_label_not_verified_organization
Beijing University of Technology,6,affiliation_label_not_verified_organization
Beijing University of technology,2,affiliation_label_not_verified_organization
Beijing institute of Technology,1,affiliation_label_not_verified_organization
Beijing institute of technology,1,affiliation_label_not_verified_organization
Ben Gurion University,2,affiliation_label_not_verified_organization
Ben-Gurion University,1,affiliation_label_not_verified_organization
Ben-Gurion University of the Negev,2,affiliation_label_not_verified_organization
Bielefeld University,3,affiliation_label_not_verified_organization
Bielefeld University / Fraunhofer IOSB-INA,1,affiliation_label_not_verified_organization
Binghamton University,12,affiliation_label_not_verified_organization
Birmingham University,1,affiliation_label_not_verified_organization
Bogazici University,1,affiliation_label_not_verified_organization
Bosch,2,affiliation_label_not_verified_organization
Bosch Center for AI,1,affiliation_label_not_verified_organization
Bosch Center for Artificial Intelligence,3,affiliation_label_not_verified_organization
Bosch Corporate Research,1,affiliation_label_not_verified_organization
Bosch GmbH,1,affiliation_label_not_verified_organization
Bosch Research; Carnegie Bosch Institute at CMU,1,affiliation_label_not_verified_organization
Bosch research,1,affiliation_label_not_verified_organization
"Boston Children's Hospital, Harvard Medical School",3,affiliation_label_not_verified_organization
Boston Dynamics AI Institute,3,affiliation_label_not_verified_organization
Boston Univeristy,1,affiliation_label_not_verified_organization
Boston University,12,affiliation_label_not_verified_organization
Brigham Young University,3,affiliation_label_not_verified_organization
Brown,1,affiliation_label_not_verified_organization
Brown University,12,affiliation_label_not_verified_organization
Bundeswehr University Munich,1,affiliation_label_not_verified_organization
Bytedance,2,affiliation_label_not_verified_organization
CALTECH,1,affiliation_label_not_verified_organization
CARIAD SE,3,affiliation_label_not_verified_organization
CARIAD SE & University of Freiburg,1,affiliation_label_not_verified_organization
CAS,1,affiliation_label_not_verified_organization
CASIA: Chinese Academy of Sciences Institute of Automation,1,affiliation_label_not_verified_organization
CAU(chung-ang university),1,affiliation_label_not_verified_organization
CCDC U.S. Army Research Laboratory,1,affiliation_label_not_verified_organization
CEO • XELA Robotics,1,affiliation_label_not_verified_organization
"CEO, Daimon Robotics",1,affiliation_label_not_verified_organization
"CEO, XELA Robotics",1,affiliation_label_not_verified_organization
"CIIRC, CVUT",1,affiliation_label_not_verified_organization
CMU,5,affiliation_label_not_verified_organization
CNRS,5,affiliation_label_not_verified_organization
CNRS - LORIA,1,affiliation_label_not_verified_organization
CNRS / Aix-Marseille Univ.,1,affiliation_label_not_verified_organization
CNRS-AIST JRL,2,affiliation_label_not_verified_organization
CNRS-AIST JRL (Joint Robotics Laboratory),1,affiliation_label_not_verified_organization
CNRS-AIST Joint Robotics Laboratory,1,affiliation_label_not_verified_organization
COWAROBOT Co. Ltd.,2,affiliation_label_not_verified_organization
"CSAIL, MIT",1,affiliation_label_not_verified_organization
CSIRO,2,affiliation_label_not_verified_organization
"CTU FEE, Departement of Computer Science",1,affiliation_label_not_verified_organization
CUHKSZ,1,affiliation_label_not_verified_organization
Ca' Foscari University,1,affiliation_label_not_verified_organization
Ca' Foscari University of Venice,1,affiliation_label_not_verified_organization
"Cadence Design Systems, Inc.",1,affiliation_label_not_verified_organization
California Institute of Technology,20,affiliation_label_not_verified_organization
California Institute of Technology (Caltech),1,affiliation_label_not_verified_organization
Caltech,5,affiliation_label_not_verified_organization
Canonical Robots,1,affiliation_label_not_verified_organization
Cardiff Univerity,1,affiliation_label_not_verified_organization
Cardiff University,1,affiliation_label_not_verified_organization
Carl Zeiss AG,4,affiliation_label_not_verified_organization
Carleton University,1,affiliation_label_not_verified_organization
Carnegie Mellon University,166,affiliation_label_not_verified_organization
"Carnegie Mellon University, Brown University",1,affiliation_label_not_verified_organization
"Carnegie Mellon University, Robotics Institute",2,affiliation_label_not_verified_organization
"Carnegie Mellon University, USA",5,affiliation_label_not_verified_organization
Carnegie Mellon Unversity,1,affiliation_label_not_verified_organization
Carnegie mellon university,1,affiliation_label_not_verified_organization
Case Western Reserve University,17,affiliation_label_not_verified_organization
Centennial High School,1,affiliation_label_not_verified_organization
Center for Advanced Aerospace Technologies,1,affiliation_label_not_verified_organization
Center for Advanced Aerospace Technologies (CATEC),3,affiliation_label_not_verified_organization
"Center for Artificial Intelligence and Robotics, Graduate School at Shenzhen, Tsinghua University, 518055 Shenzhen, China",2,affiliation_label_not_verified_organization
"Central Saint Martins, University of the Arts London",1,affiliation_label_not_verified_organization
Central South University,1,affiliation_label_not_verified_organization
Centro Federal de Educação Tecnológica de Minas Gerais,2,affiliation_label_not_verified_organization
Centro di Ricerca E. Piaggio - Università di Pisa,1,affiliation_label_not_verified_organization
Certis,1,affiliation_label_not_verified_organization
Certis Group,1,affiliation_label_not_verified_organization
Chalmers University Of Technology,1,affiliation_label_not_verified_organization
Chalmers University of Technology,3,affiliation_label_not_verified_organization
"Chalmers University of Technology, University College London",1,affiliation_label_not_verified_organization
Changsha University of Science and Technology,1,affiliation_label_not_verified_organization
"Chief AI Officer, Generative Bionics (IIT), Italy",1,affiliation_label_not_verified_organization
"Chief Science Officer, Tangent Robotics",1,affiliation_label_not_verified_organization
China Academy of Aerospace System and Innovation,1,affiliation_label_not_verified_organization
China Academy of Information and Communications Technology,1,affiliation_label_not_verified_organization
China Academy of Launch Vehicle Technology,2,affiliation_label_not_verified_organization
China Academy of Launch and Vehicle Technology,3,affiliation_label_not_verified_organization
China Aerospace Science and Technology Corporation,1,affiliation_label_not_verified_organization
China Agricultural University,5,affiliation_label_not_verified_organization
China Jiliang University,1,affiliation_label_not_verified_organization
China Merchants Group,1,affiliation_label_not_verified_organization
China Merchants Lion Rock AI Lab,1,affiliation_label_not_verified_organization
"China Mobile Communications Group Shaanxi Co.,Ltd.",1,affiliation_label_not_verified_organization
China Mobile Group Hunan Company Limited,1,affiliation_label_not_verified_organization
"China Mobile Group Shaanxi Co., Ltd.",1,affiliation_label_not_verified_organization
"China North Information Control Research Institute Group Co., Ltd.",1,affiliation_label_not_verified_organization
China Telecom,1,affiliation_label_not_verified_organization
China University of Mining and Technology,7,affiliation_label_not_verified_organization
Chinese Academy of Science,1,affiliation_label_not_verified_organization
"Chinese Academy of Science, Institute of Automation",1,affiliation_label_not_verified_organization
Chinese Academy of Sciences,12,affiliation_label_not_verified_organization
Chinese Academy of Sciences Institute of Automation,1,affiliation_label_not_verified_organization
Chinese Academy of Sciences Technology and Engineering Center for Space Utilization,1,affiliation_label_not_verified_organization
Chinese Acdamy of Sciences,1,affiliation_label_not_verified_organization
Chinese Univ Hong Kong (CUHK) & National Univ Singapore(NUS),1,affiliation_label_not_verified_organization
Chinese University of Hong Kong,5,affiliation_label_not_verified_organization
"Chinese University of Hong Kong, Shenzhen",4,affiliation_label_not_verified_organization
Chinese University of Hongkong shenzhen,1,affiliation_label_not_verified_organization
Chinese univerisity of HongKong,1,affiliation_label_not_verified_organization
Chittagong University of Engineering & Technology,2,affiliation_label_not_verified_organization
"Chongqing Institute of Green and Intelligent Technology, Chinese Academy of Sciences, Chongqing, China.",1,affiliation_label_not_verified_organization
Chongqing Jiaotong University,5,affiliation_label_not_verified_organization
Chongqing University,17,affiliation_label_not_verified_organization
Chongqing University of Posts and Telecommunications,4,affiliation_label_not_verified_organization
Chongqing Universty,1,affiliation_label_not_verified_organization
"Chongqing Vocational Institute of Engineering,Big Data and Internet of Things School,Chongqing",1,affiliation_label_not_verified_organization
Chongqing university,1,affiliation_label_not_verified_organization
Chonnam National University Hospital,3,affiliation_label_not_verified_organization
Chung-Ang University,3,affiliation_label_not_verified_organization
ChungAng University,1,affiliation_label_not_verified_organization
"Chunghwa Telecom Co., Ltd.",1,affiliation_label_not_verified_organization
Chuo University,7,affiliation_label_not_verified_organization
Chuo university,2,affiliation_label_not_verified_organization
City University of Hong Kong,10,affiliation_label_not_verified_organization
City University of Macau,1,affiliation_label_not_verified_organization
Clemson University,10,affiliation_label_not_verified_organization
Clemson University International Center for Automotive Research (CU-ICAR),2,affiliation_label_not_verified_organization
Cleveland State University,1,affiliation_label_not_verified_organization
Cluster Metaverse Lab,1,affiliation_label_not_verified_organization
Code19 Racing,1,affiliation_label_not_verified_organization
"College of Design Engineering, National University of Singapore",1,affiliation_label_not_verified_organization
"College of Mechatronics and Control Engineering, Shenzhen University",1,affiliation_label_not_verified_organization
Colorado School of Mines,9,affiliation_label_not_verified_organization
Colorado State University,3,affiliation_label_not_verified_organization
Columbia University,8,affiliation_label_not_verified_organization
"Columbia University, University of Illinois at Urbana Champaign",1,affiliation_label_not_verified_organization
Company,3,affiliation_label_not_verified_organization
Competence Industry Manufacturing 4.0 (CIM4.0),1,affiliation_label_not_verified_organization
Concordia University,6,affiliation_label_not_verified_organization
Constructor University,2,affiliation_label_not_verified_organization
Cornell University,18,affiliation_label_not_verified_organization
Cornell Unviersity,1,affiliation_label_not_verified_organization
Cowarobot,1,affiliation_label_not_verified_organization
Cpe Lyon,1,affiliation_label_not_verified_organization
Cranfield University,2,affiliation_label_not_verified_organization
CyberAgent,2,affiliation_label_not_verified_organization
"CyberAgent, Inc.",2,affiliation_label_not_verified_organization
Cytoderm Technology,1,affiliation_label_not_verified_organization
"Czech Institute of Informatics, Robotics and Cybernetics (CIIRC CTU)",2,affiliation_label_not_verified_organization
Czech Technical University,3,affiliation_label_not_verified_organization
Czech Technical University in Prague,13,affiliation_label_not_verified_organization
Czech Technical University in Prague (CTU),1,affiliation_label_not_verified_organization
"Czech Technical University in Prague, Czech Institute of Informatics, Robotics and Cybernetics",1,affiliation_label_not_verified_organization
"Czech Technical University in Prague, Faculty of Electrical Engineering",1,affiliation_label_not_verified_organization
Czech technical univeristy in Prague,1,affiliation_label_not_verified_organization
D-Robotics,2,affiliation_label_not_verified_organization
D-robotics,2,affiliation_label_not_verified_organization
DARPA,1,affiliation_label_not_verified_organization
DCS Corp. (Air Force Research Labs.),1,affiliation_label_not_verified_organization
DEVCOM Army Research Laboratory,5,affiliation_label_not_verified_organization
DEVCOM Army Research Labratory,1,affiliation_label_not_verified_organization
DEVCOM U.S. Army Research Laboratory,1,affiliation_label_not_verified_organization
DFKI,1,affiliation_label_not_verified_organization
DFKI GmbH,1,affiliation_label_not_verified_organization
DGIST,1,affiliation_label_not_verified_organization
DGIST (Daegu Gyeongbuk Institute of Science and Technology),2,affiliation_label_not_verified_organization
DIBULI,1,affiliation_label_not_verified_organization
DISCOVER Robotics,1,affiliation_label_not_verified_organization
DLR - Deutsches Zentrum für Luft- und Raumfahrt e.V.,1,affiliation_label_not_verified_organization
DLR - German Aerospace Center,1,affiliation_label_not_verified_organization
DSO National Laboratories,1,affiliation_label_not_verified_organization
Daegu Gyeongbuk Institute of Science & Technology,1,affiliation_label_not_verified_organization
Daegu Gyeongbuk Institute of Science and Technology,3,affiliation_label_not_verified_organization
Daegu Gyeongbuk Institute of Science and Technology (DGIST),1,affiliation_label_not_verified_organization
Dalhousie University,1,affiliation_label_not_verified_organization
Dalian Maritime University,5,affiliation_label_not_verified_organization
Dalian University Of Technology,1,affiliation_label_not_verified_organization
Dalian University of Technology,24,affiliation_label_not_verified_organization
Dalle Molle Institute for Artificial Intelligence (IDSIA),1,affiliation_label_not_verified_organization
Dartmouth College,9,affiliation_label_not_verified_organization
Deccan AI,5,affiliation_label_not_verified_organization
DeepMirror,2,affiliation_label_not_verified_organization
Defence Institute Of Advanced Technology,1,affiliation_label_not_verified_organization
Defence Institute of Advanced Technology,1,affiliation_label_not_verified_organization
Delft University of Technology,14,affiliation_label_not_verified_organization
Delft University of Technology (TU Delft),1,affiliation_label_not_verified_organization
Delhi Technological University,2,affiliation_label_not_verified_organization
Delta Electronics,1,affiliation_label_not_verified_organization
Delta Electronics Int'l (Singapore) Pte Ltd,2,affiliation_label_not_verified_organization
"Department of Automation,Tsinghua University",1,affiliation_label_not_verified_organization
"Department of Electronic Engineering, Tsinghua University, China",1,affiliation_label_not_verified_organization
"Department of Mechanical Engineering and Automation, Harbin Institute of Technology, Shenzhen 518052, P.R. China",1,affiliation_label_not_verified_organization
"Department of Radiation Oncology, University of Louisville",1,affiliation_label_not_verified_organization
"Department of Thoracic Surgery, Peking Union Medical College Hospital",1,affiliation_label_not_verified_organization
"Department of Visceral, Thoracic and Vascular Surgery, Hospital Carl Gustav Carus, Technische Universität Dresden",1,affiliation_label_not_verified_organization
"Department of priority oral care, Peking University School and Hospital of Stomatology",1,affiliation_label_not_verified_organization
Devialet Company,1,affiliation_label_not_verified_organization
Dexmal,3,affiliation_label_not_verified_organization
Dimension Gate,2,affiliation_label_not_verified_organization
Disney Research,5,affiliation_label_not_verified_organization
Disney Research Robotics,1,affiliation_label_not_verified_organization
"Division of Otolaryngology, Department of Surgery, The University of British Columbia",1,affiliation_label_not_verified_organization
Dolby Laboratories,3,affiliation_label_not_verified_organization
"Dolby Laboratories, Inc",1,affiliation_label_not_verified_organization
Dolby Labs,1,affiliation_label_not_verified_organization
Dongguan University of Technology,1,affiliation_label_not_verified_organization
Dongguk University,5,affiliation_label_not_verified_organization
Donghua University,7,affiliation_label_not_verified_organization
Donghua university,1,affiliation_label_not_verified_organization
Doungguk University,1,affiliation_label_not_verified_organization
Drexel University,3,affiliation_label_not_verified_organization
Drexel university,1,affiliation_label_not_verified_organization
Duke University,14,affiliation_label_not_verified_organization
"Duke University, University of California San Diego",1,affiliation_label_not_verified_organization
Durham University,1,affiliation_label_not_verified_organization
Dyson Institute Of Engineering & Technology,1,affiliation_label_not_verified_organization
"E-surfing Digital Life Technology Co., Ltd.",2,affiliation_label_not_verified_organization
"E-surfing Digital Life Technology Co., Ltd.‌",1,affiliation_label_not_verified_organization
"EFORT Intelligent Equipment Co., Ltd.",1,affiliation_label_not_verified_organization
ENEOS Corporation,2,affiliation_label_not_verified_organization
ENIB,1,affiliation_label_not_verified_organization
ENSTA,1,affiliation_label_not_verified_organization
"ENSTA Paris, Institut Polytechnique de Paris",3,affiliation_label_not_verified_organization
"ENSTA, Institut Polytechnique de Paris",1,affiliation_label_not_verified_organization
EPFL,11,affiliation_label_not_verified_organization
ETH,1,affiliation_label_not_verified_organization
ETH Zurich,48,affiliation_label_not_verified_organization
ETH ZÜRICH,1,affiliation_label_not_verified_organization
ETH Zürich,12,affiliation_label_not_verified_organization
"ETH Zürich, Department of Mechanical and Process Engineering, Micro-& Nanosystems",1,affiliation_label_not_verified_organization
ETHZ,1,affiliation_label_not_verified_organization
ETHZ - RSL,1,affiliation_label_not_verified_organization
ETHz,1,affiliation_label_not_verified_organization
East China Normal University,8,affiliation_label_not_verified_organization
East China University of Science and Technology,1,affiliation_label_not_verified_organization
Eastern Institute of Technology,1,affiliation_label_not_verified_organization
"Eastern Institute of Technology, Ningbo",3,affiliation_label_not_verified_organization
Ecole Centrale Lyon,1,affiliation_label_not_verified_organization
Ecole Centrale de Lyon,2,affiliation_label_not_verified_organization
Eidgenössische Technische Hochschule Zürich,2,affiliation_label_not_verified_organization
Eindhoven University of Technology,1,affiliation_label_not_verified_organization
Embry Riddle Aeronautical University-Daytona Beach,1,affiliation_label_not_verified_organization
Embry-Riddle Aeronautical University,1,affiliation_label_not_verified_organization
Esslingen University,1,affiliation_label_not_verified_organization
Esslingen University of Applied Sciences,2,affiliation_label_not_verified_organization
Evocortex GmbH,1,affiliation_label_not_verified_organization
Ewha Womans University,5,affiliation_label_not_verified_organization
Ewha womans university,1,affiliation_label_not_verified_organization
Expedia Group,1,affiliation_label_not_verified_organization
FBK,1,affiliation_label_not_verified_organization
FH Technikum Wien,1,affiliation_label_not_verified_organization
FNii,1,affiliation_label_not_verified_organization
FORTH,1,affiliation_label_not_verified_organization
FP Innovations,1,affiliation_label_not_verified_organization
FPInnovations,2,affiliation_label_not_verified_organization
FPT Software AI Center,1,affiliation_label_not_verified_organization
"FPT Software AI Center, Hanoi University of Science and Technology",1,affiliation_label_not_verified_organization
FPT University,4,affiliation_label_not_verified_organization
FRAMOS,2,affiliation_label_not_verified_organization
FZI Forschungszentrum Informatik,5,affiliation_label_not_verified_organization
FZI Karlsruhe,1,affiliation_label_not_verified_organization
Facebook Reality Labs,3,affiliation_label_not_verified_organization
"Faculty of Advanced Engineering, Tokyo University of Science",1,affiliation_label_not_verified_organization
Faculty of Electrical Engineering in Prague,1,affiliation_label_not_verified_organization
"Faculty of Electrical Engineering, Czech Technical University in Prague",3,affiliation_label_not_verified_organization
"Faculty of engineering, University of Rijeka",1,affiliation_label_not_verified_organization
Familiar Machines & Magic,1,affiliation_label_not_verified_organization
Federal University of Amazonas,1,affiliation_label_not_verified_organization
Federal University of Rio Grande (FURG),1,affiliation_label_not_verified_organization
Field AI,1,affiliation_label_not_verified_organization
"Field AI, Inc.",1,affiliation_label_not_verified_organization
FieldAI,3,affiliation_label_not_verified_organization
Flexiv,1,affiliation_label_not_verified_organization
Flexiv Pte. Ltd.,1,affiliation_label_not_verified_organization
Flinders University,1,affiliation_label_not_verified_organization
Florida Atlantic University,3,affiliation_label_not_verified_organization
Florida Institute for Human and Machine Cognition,1,affiliation_label_not_verified_organization
Florida International University,9,affiliation_label_not_verified_organization
Florida State University,7,affiliation_label_not_verified_organization
Fondazione Bruno Kessler,1,affiliation_label_not_verified_organization
Ford Motor Company,3,affiliation_label_not_verified_organization
Ford Otosan,1,affiliation_label_not_verified_organization
Foundation for Research and Technology – Hellas (FORTH),1,affiliation_label_not_verified_organization
Franka Emika GmbH,1,affiliation_label_not_verified_organization
Fraunhofer IPK,1,affiliation_label_not_verified_organization
Fraunhofer Institute for Production Systems and Design Technology IPK,3,affiliation_label_not_verified_organization
Fraunhofer Institute for Production Systems and DesignTechnology (IPK),1,affiliation_label_not_verified_organization
Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO) and Reutlingen University,1,affiliation_label_not_verified_organization
Friedrich-Alexander-University Erlangen-Nuernberg,1,affiliation_label_not_verified_organization
Frontier Robotics,3,affiliation_label_not_verified_organization
Fudan Univerity,1,affiliation_label_not_verified_organization
Fudan Universerty,1,affiliation_label_not_verified_organization
Fudan University,45,affiliation_label_not_verified_organization
Fudan university,1,affiliation_label_not_verified_organization
Fujitsu,1,affiliation_label_not_verified_organization
Fujitsu Ltd.,1,affiliation_label_not_verified_organization
Fujitsu Research of America,2,affiliation_label_not_verified_organization
"Fujitsu Research of America, Inc.",1,affiliation_label_not_verified_organization
"Full Professor at Swiss Federal Technology Institute of Lausanne, Switzerland",1,affiliation_label_not_verified_organization
"Full Professor at the University of Glasgow, United Kingdom",1,affiliation_label_not_verified_organization
Full Professor • Stanford University,1,affiliation_label_not_verified_organization
Fuzhou University,1,affiliation_label_not_verified_organization
GAC Group,1,affiliation_label_not_verified_organization
GAC R&D CENTER,2,affiliation_label_not_verified_organization
GEBZE TECHNICAL UNIVERSITY,1,affiliation_label_not_verified_organization
GM,1,affiliation_label_not_verified_organization
Galbot,2,affiliation_label_not_verified_organization
Galbot Co. Ltd.,1,affiliation_label_not_verified_organization
Gebze Technical University,1,affiliation_label_not_verified_organization
General Motors Research and Development,1,affiliation_label_not_verified_organization
General Robotics,3,affiliation_label_not_verified_organization
Generative Bionics,1,affiliation_label_not_verified_organization
George Mason University,25,affiliation_label_not_verified_organization
George Washington University,2,affiliation_label_not_verified_organization
Georgia Institute of Technology,69,affiliation_label_not_verified_organization
Georgia Institute of technology,1,affiliation_label_not_verified_organization
Georgia Tech,7,affiliation_label_not_verified_organization
Georgia institute of Technology,1,affiliation_label_not_verified_organization
"German Aeroespace Center (DLR), Robotics and Mechatronics Center (RMC)",1,affiliation_label_not_verified_organization
German Aerospace Center (DLR),10,affiliation_label_not_verified_organization
German Aerospace Center - DLR,1,affiliation_label_not_verified_organization
"German Aerospace Center, Technical University of Munich",1,affiliation_label_not_verified_organization
German Research Center for Artificial Intelligence,1,affiliation_label_not_verified_organization
Ghent University,2,affiliation_label_not_verified_organization
GigaAI,2,affiliation_label_not_verified_organization
Google,6,affiliation_label_not_verified_organization
