id,name,roles,booths,primary_evidence_present,source_urls,verification_levels,hilo_member,outreach_authorized
org-c0dd1d7ed997c022987d,Path Robotics,conference_sponsor_reported,,False,https://wew.twstalker.com/ieeeiros,secondary_organizer_post_mirror,False,False
org-d0c22d7463e1738d9dd4,PaXini Tech,conference_sponsor_reported,,False,https://wew.twstalker.com/ieeeiros,secondary_organizer_post_mirror,False,False
org-c1e89dd6b4ae44b64499,RoboSense,conference_sponsor_reported,,False,https://wew.twstalker.com/ieeeiros,secondary_organizer_post_mirror,False,False
org-5d58135d49d8266e44ee,Robotera,conference_sponsor_reported,,False,https://wew.twstalker.com/ieeeiros,secondary_organizer_post_mirror,False,False
org-14ba19ac7a05c8543003,Robotics and AI Institute,conference_sponsor_reported,,False,https://wew.twstalker.com/ieeeiros,secondary_organizer_post_mirror,False,False
org-ea02af4d4022d190f596,Robotiq,exhibitor_announcement,427,True,https://event.robotiq.com/iros2026,vendor_primary,False,False
org-8ad769f107002ee45f4b,ROBOTIS,conference_sponsor_reported | exhibitor_announcement,422,True,https://wew.twstalker.com/ieeeiros | https://dk.linkedin.com/company/robotis,secondary_organizer_post_mirror | vendor_primary,False,False
org-3a45cae65c49878f7643,Rokoko,exhibitor_announcement,227,True,https://www.rokoko.com/mocap/iros-2026,vendor_primary,False,False
org-09b926797acd104d1315,RysenRobotics,conference_sponsor,,True,https://www.linkedin.com/company/iros2026pittsburgh,organizer_primary,False,False
org-551f291cd9ca94989dfc,SETI Institute,workshop_sponsor,,True,https://www.seti.org/events/space-robotics-workshop/,institution_primary,False,False
org-8327aa02393f74abe653,Social AI CDT,workshop_sponsor,,True,https://heai-iros26-workshop.github.io/,workshop_primary,False,False
org-acf29a7df67f1ac7afd7,Symbotic,conference_sponsor | exhibitor_announcement,831,True,https://www.linkedin.com/company/iros2026pittsburgh | https://www.symbotic.com/event/iros-2026/,organizer_primary | vendor_primary,False,False
org-0444d489f5e6fb375c07,Technology Innovation Institute,conference_sponsor,,True,https://www.linkedin.com/company/iros2026pittsburgh,organizer_primary,False,False
org-35ebe3660193c4e19dc0,TELUS Digital,exhibitor_announcement,814,True,https://telus-international-telus-international-global-production.pr.gke.telus.digital/events/iros,vendor_primary,False,False
org-295d88bed99386220848,TIER IV,competition_sponsor,,True,https://tw.linkedin.com/company/the-autoware-foundation,vendor_primary,False,False
org-4b64c1a413264526d7d3,Viam,exhibitor_announcement,828,True,https://www.viam.com/press-releases/viam-debuts-box-opening-robot-at-iros-2026,vendor_primary,False,False
org-0ff5678fabae6a522515,Vicon,exhibitor_announcement,1106,True,https://www.vicon.com/event/iros-2026/,vendor_primary,False,False
org-ac0c281d3ebc6b4ac5b3,XELA Robotics,workshop_sponsor,,True,https://iros-touch2action.github.io/,workshop_primary,False,False
org-3b9ef475d292315f9105,Xsens,exhibitor_announcement,721,True,https://www.linkedin.com/company/xsensinc/,vendor_primary,False,False
